연번,유형,메인 카테고리,제목,질문,보기1,보기2,보기3,보기4,정답,해설
233,OX,자료구조,임시제목,B+tree는 모든 상황에서 B-tree보다 좋다.,O,X,,,2,"B+tree는 인덱스 관리와 범위 검색에서 B-tree보다 효율적일 수 있지만, 모든 상황에서 B-tree보다 우수하지는 않습니다. 예를 들어, 특정 상황에서는 B-tree가 더 효율적일 수 있습니다."
234,OX,자료구조,임시제목,이진트리(Binary Tree)는 높이가 무한정 길어질 수 있다.,O,X,,,1,"이진트리는 단순히 자식 노드가 2개 이하인 구조로, 삽입 방식에 따라 한쪽 방향으로 계속 이어질 수 있어 높이가 무한정 길어질 수 있습니다."
235,OX,자료구조,임시제목,이진 탐색 트리(Binary Search Tree)는 자체균형트리 이다.,O,X,,,2,"이진 탐색 트리는 특정 조건에 따라 삽입되지만, 트리 전체를 재정렬하지 않아 스스로 균형을 유지하지는 않습니다. 따라서 자체균형 트리는 아닙니다."
236,OX,자료구조,임시제목,AVL Tree는 작업의 상한선이 O(logN) 유지된다.,O,X,,,1,AVL 트리는 삽입 및 삭제 시 균형을 유지하도록 트리를 재구성하여 작업 시간의 상한선을 O(logN)으로 유지합니다. AVL 트리는 높이 균형을 유지하는 이진 탐색 트리의 일종입니다.
237,OX,자료구조,임시제목,이진탐색 트리(BST)의 평균 시간 복잡도는 O(logn)이며 최악의 시간 복잡도는 O(n)이다.,O,X,,,1,"이진탐색 트리(BST)의 평균 시간 복잡도는 O(logn)이며, 트리가 한쪽으로 치우치는 경우 최악의 시간 복잡도는 O(n)입니다."
238,OX,자료구조,임시제목,자바에서 HashSet이 HashMap보다 성능이 좋다.,O,X,,,2,HashSet은 내부적으로 HashMap을 사용해 구현되므로 성능 차이가 없습니다.
239,OX,자료구조,임시제목,자바 ArrayList의 contains 시간복잡도는 O(n)이다.,O,X,,,1,ArrayList의 contains 메서드는 요소를 순차적으로 검색하므로 시간 복잡도는 O(n)입니다.
240,OX,자료구조,임시제목,자바에서 HashMap과 달리 HashTable의 특징은 Thread-safe한 것이다.,O,X,,,1,HashTable은 모든 메서드가 synchronized로 선언되어 있어 Thread-safe한 특징을 가집니다.
241,OX,자료구조,임시제목,자바의 ConcurrentHashMap은 검색 속도 향상을 위해 나온 클래스이다.,O,X,,,2,ConcurrentHashMap은 멀티 스레드 환경에서 안전한 동시 접근을 지원하기 위해 나온 클래스입니다. 검색 속도 향상이 주요 목적은 아닙니다.
242,OX,자료구조,임시제목,자바에서 map을 사용할 때 입력 순서를 보장할 수 있는 방법은 없다.,O,X,,,2,"입력 순서를 보장하는 Map이 필요할 경우, 자바의 LinkedHashMap을 사용할 수 있습니다."
243,OX,자료구조,임시제목,레드 블랙트리는 자기 균형 이진 탐색 트리이다.,O,X,,,1,"레드 블랙트리는 균형을 유지하는 이진 탐색 트리로, 자기 균형 트리의 일종입니다."
244,OX,자료구조,임시제목,자바의 HashMap은 해쉬 충돌이 생겼을 때 개방 주소법(Open Addressing)을 사용한다.,O,X,,,2,자바의 HashMap은 해시 충돌이 발생하면 개방 주소법이 아닌 체이닝 방식을 사용해 충돌을 해결합니다.
245,OX,자료구조,임시제목,자바의 HashMap 버킷 크기는 고정이다.,O,X,,,2,"HashMap의 버킷 크기는 기본값으로 시작하지만, 데이터 개수가 임계점에 도달할 때마다 크기를 두 배로 확장합니다."
246,OX,자료구조,임시제목,자바의 HashMap은 해시 버킷 체이닝에 LinkedList만 사용한다.,O,X,,,2,"HashMap은 해시 버킷에 충돌이 발생하면 처음에는 LinkedList를 사용하고, 체이닝 된 요소가 많아지면 Red-Black Tree로 전환합니다."
247,OX,자료구조,임시제목,선택정렬의 시간복잡도는 최선 평균 최악 모두 O(n^2)이다. (O / X),O,X,,,1,선택 정렬은 모든 경우에 대해 O(n^2) 시간 복잡도를 가집니다. 정렬된 배열에서도 각 요소를 반복하여 비교해야 하기 때문입니다.
248,OX,자료구조,임시제목,삽입정렬은 최선의 경우에는 O(n)의 시간복잡도를 가지게 된다. (O / X),O,X,,,1,"삽입 정렬은 최선의 경우(이미 정렬된 배열)에는 O(n) 시간 복잡도를 가지며, 매번 한 번만 비교합니다. 그러나 최악의 경우에는 O(n^2)입니다."
249,OX,자료구조,임시제목,버블정렬을 수행할 때 공간복잡도는 O(n^2)이다. (O / X),O,X,,,2,버블 정렬의 공간복잡도는 O(1)입니다. 정렬은 인덱스 스왑만으로 이루어지므로 추가적인 메모리가 필요하지 않습니다.
250,OX,자료구조,임시제목,퀵정렬은 이미 정렬된 데이터에서 매우 효율적이다. (O / X),O,X,,,2,"퀵 정렬은 이미 정렬된 데이터에서는 비효율적이며, 최악의 경우 시간 복잡도가 O(n^2)로 발생할 수 있습니다."
251,OX,자료구조,임시제목,병합정렬은 LinkedList를 사용해서 구현하면 더 효율적이다. (O / X),O,X,,,1,병합 정렬은 배열 대신 LinkedList를 사용할 경우 데이터 복사 없이 노드 포인터 변경만으로 병합이 가능해 효율적입니다.
252,OX,자료구조,임시제목,힙 정렬은 최악의 경우에는 시간복잡도가 O(n^2)이 나올 수 있다. (O / X),O,X,,,2,"힙 정렬의 최악, 평균, 최선 모두 O(n log n)의 시간 복잡도를 가지며, O(n^2)으로 나올 수 없습니다."
